"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Response rate,Footnote for response rate,Footnote Number
497478,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497485,4,,4,,88,,3,,86,,3,,82,,4,,87,,82,,236,,29,,
497490,4,,5,,91,,4,,89,,3,,81,,4,,89,,85,,550,,21,,
497492,5,11,5,11,93,11,5,11,93,11,3,11,82,11,5,11,94,11,84,11,52,11,24,11,11
497493,4,,5,,92,,4,,90,,3,,81,,4,,88,,85,,321,,23,,
497497,3,,3,,86,,3,,87,,4,,84,,2,,75,,69,,143,,24,,
497498,3,,4,,87,,3,,84,,2,,74,,2,,79,,68,,146,,23,,
497502,Not Available,11,Not Available,11,68,11,Not Available,11,70,11,Not Available,11,76,11,Not Available,11,70,11,54,11,14,11,27,11,11
497507,4,,5,,93,,4,,91,,4,,84,,4,,91,,87,,246,,22,,
497508,4,,4,,89,,3,,88,,4,,85,,3,,84,,77,,142,,18,,
497533,4,,4,,90,,4,,88,,4,,87,,4,,87,,84,,182,,31,,
497535,Not Available,11,Not Available,11,94,11,Not Available,11,92,11,Not Available,11,87,11,Not Available,11,97,11,89,11,36,11,30,11,11
497536,Not Available,9,Not Available,9,81,9,Not Available,9,74,9,Not Available,9,72,9,Not Available,9,84,9,59,9,8,9,13,9,9
497538,3,,4,,90,,3,,89,,3,,82,,3,,88,,83,,326,,27,,
497541,4,,5,,90,,4,,90,,3,,75,,4,,89,,84,,211,,27,,
497545,5,"10,11",5,"10,11",93,"10,11",5,"10,11",92,"10,11",4,"10,11",88,"10,11",5,"10,11",100,"10,11",96,"10,11",46,"10,11",29,"10,11","10,11"
497546,4,,4,,91,,3,,84,,4,,84,,3,,89,,77,,186,,31,,
497547,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497548,Not Available,"9,10",Not Available,"9,10",66,"9,10",Not Available,"9,10",98,"9,10",Not Available,"9,10",76,"9,10",Not Available,"9,10",98,"9,10",98,"9,10",3,"9,10",10,"9,10","9,10"
497549,3,,3,,88,,3,,86,,3,,80,,2,,80,,74,,73,,22,,
497550,4,11,5,11,93,11,4,11,90,11,4,11,83,11,4,11,90,11,84,11,66,11,27,11,11
497552,4,11,5,11,91,11,3,11,86,11,2,11,72,11,4,11,84,11,72,11,69,11,23,11,11
497557,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497559,3,,3,,84,,2,,80,,2,,73,,3,,84,,75,,371,,23,,
497563,2,11,2,11,83,11,2,11,79,11,3,11,78,11,2,11,64,11,70,11,58,11,20,11,11
497564,4,,5,,91,,3,,86,,3,,80,,4,,88,,82,,316,,31,,
497565,3,,4,,87,,3,,83,,3,,78,,3,,84,,81,,122,,28,,
497566,4,,5,,91,,3,,87,,3,,77,,3,,86,,83,,346,,25,,
497567,5,11,5,11,93,11,5,11,95,11,3,11,81,11,5,11,90,11,85,11,50,11,24,11,11
497568,Not Available,11,Not Available,11,89,11,Not Available,11,86,11,Not Available,11,83,11,Not Available,11,85,11,84,11,29,11,18,11,11
497569,3,11,3,11,88,11,3,11,86,11,2,11,72,11,3,11,80,11,77,11,62,11,18,11,11
497570,3,,3,,86,,3,,82,,3,,82,,3,,80,,76,,172,,27,,
497571,Not Available,11,Not Available,11,90,11,Not Available,11,85,11,Not Available,11,79,11,Not Available,11,86,11,92,11,21,11,25,11,11
497572,Not Available,11,Not Available,11,95,11,Not Available,11,93,11,Not Available,11,82,11,Not Available,11,90,11,91,11,12,11,22,11,11
497573,Not Available,11,Not Available,11,83,11,Not Available,11,87,11,Not Available,11,73,11,Not Available,11,82,11,81,11,33,11,24,11,11
497574,Not Available,11,Not Available,11,84,11,Not Available,11,85,11,Not Available,11,73,11,Not Available,11,77,11,73,11,28,11,32,11,11
497577,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497580,4,,4,,90,,3,,87,,3,,75,,4,,88,,83,,165,,29,,
497581,2,,2,,84,,1,,77,,3,,78,,2,,78,,64,,140,,16,,
497582,3,,4,,89,,2,,82,,2,,74,,3,,88,,81,,80,,24,,
497583,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497584,4,,4,,90,,3,,86,,3,,81,,4,,88,,82,,100,,27,,
497587,3,,3,,84,,3,,82,,3,,79,,2,,79,,69,,208,,15,,
497592,4,,5,,92,,4,,91,,4,,83,,4,,91,,84,,189,,22,,
497593,3,,4,,88,,3,,88,,3,,76,,3,,84,,72,,199,,18,,
497594,3,,3,,86,,2,,82,,3,,77,,3,,81,,70,,319,,19,,
497596,3,11,3,11,83,11,2,11,78,11,4,11,83,11,3,11,80,11,70,11,47,11,28,11,11
497597,3,,4,,89,,3,,86,,3,,78,,3,,87,,78,,276,,27,,
497598,4,,4,,89,,4,,88,,4,,87,,3,,81,,84,,167,,29,,
497599,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497600,3,,4,,91,,3,,85,,3,,80,,2,,82,,78,,123,,20,,
497602,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497603,4,,5,,91,,3,,89,,3,,81,,3,,89,,80,,116,,22,,
497604,Not Available,9,Not Available,9,96,9,Not Available,9,88,9,Not Available,9,86,9,Not Available,9,92,9,73,9,9,9,17,9,9
497605,2,,3,,85,,2,,82,,2,,67,,2,,76,,64,,251,,19,,
497607,3,,3,,83,,2,,76,,3,,75,,2,,73,,70,,107,,20,,
497608,4,,4,,91,,4,,89,,4,,83,,4,,86,,82,,267,,34,,
497611,Not Available,11,Not Available,11,93,11,Not Available,11,94,11,Not Available,11,89,11,Not Available,11,92,11,98,11,34,11,39,11,11
497616,Not Available,9,Not Available,9,67,9,Not Available,9,55,9,Not Available,9,42,9,Not Available,9,47,9,45,9,4,9,19,9,9
497617,3,,4,,88,,3,,85,,3,,79,,2,,83,,73,,255,,32,,
497621,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497623,4,,5,,91,,3,,87,,4,,84,,4,,89,,85,,228,,25,,
497625,3,,3,,86,,3,,85,,3,,82,,2,,80,,69,,137,,21,,
497626,Not Available,11,Not Available,11,87,11,Not Available,11,83,11,Not Available,11,72,11,Not Available,11,94,11,93,11,17,11,21,11,11
497628,3,,3,,82,,2,,80,,3,,75,,2,,79,,70,,173,,19,,
497631,Not Available,11,Not Available,11,89,11,Not Available,11,90,11,Not Available,11,85,11,Not Available,11,94,11,80,11,28,11,29,11,11
497636,1,,2,,78,,1,,73,,1,,57,,1,,72,,57,,180,,17,,
497638,2,,2,,82,,1,,78,,2,,71,,2,,77,,65,,95,,21,,
497640,4,11,5,11,91,11,4,11,91,11,4,11,86,11,4,11,87,11,84,11,59,11,28,11,11
497642,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497643,4,,5,,92,,4,,89,,4,,85,,4,,88,,86,,272,,29,,
497644,4,,4,,89,,4,,89,,3,,80,,4,,88,,84,,275,,28,,
497646,4,,5,,91,,4,,90,,3,,79,,4,,87,,82,,340,,28,,
497649,Not Available,11,Not Available,11,80,11,Not Available,11,73,11,Not Available,11,87,11,Not Available,11,66,11,72,11,24,11,10,11,11
497650,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
497653,3,,4,,88,,2,,80,,3,,76,,3,,82,,77,,261,,26,,
497654,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
